Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Day,Month,Lat,Lng
25-Jun-18,2018,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18,White shark,25,Jun,33.1958696,-117.3794834
18-Jun-18,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14,Non-Disclosed,18,Jun,31.1595905,-81.3885517
9-Jun-18,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,7,Non-Disclosed,9,Jun,21.3056121,-158.0301899
8-Jun-18,2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,N,,2 m shark,8,Jun,-30.068611,153.195278
4-Jun-18,2018,Provoked,MEXICO,Colima,La Ticla,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m",4,Jun,18.4543533,-103.5541312
3-Jun-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,M,,"No injury, board bitten",N,,Non-Disclosed,3,Jun,-28.8423626,153.6019473
3-Jun-18,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,,Tiger shark,3,Jun,-8.1721337,-34.9155416
27-May-18,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",27,May,29.078526,-80.9218453
26-May-18,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17,"Bull shark, 6'",26,May,28.3200067,-80.6075513
26-May-18,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14,Non-Disclosed,26,May,29.2108147,-81.0228331
24-May-18,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,,Grey reef shark,24,May,-16.9184171,145.7738313
21-May-18,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,,Non-Disclosed,21,May,32.8194131,-79.7343791
13-May-18,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15,Non-Disclosed,13,May,32.216316,-80.752608
13-May-18,2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,8,Invalid incident,13,May,37.7798578,-122.5116171
18-May,2018,Provoked,AUSTRALIA,Western Australia,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m",18,May,-16.395,123.8722222
12-May-18,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11,Non-Disclosed,12,May,-32.9859684,27.9446709
9-May-18,2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10,Shark involvement not confirmed,9,May,-28.8377242,153.6044032
Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,,Non-Disclosed,30,Apr,12.4513594,99.9789561
28-Apr-18,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10,Tiger shark,28,Apr,,
28-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,16,Non-Disclosed,28,Apr,44.0589618,-68.7885233
25-Apr-18,2018,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,N,7,Questionable,25,Apr,-28.8,153.583333
25-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,9,3 m shark,25,Apr,-33.9767383,114.9859836
24-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,,"White shark, 3.5 m",24,Apr,-33.8638221,114.9769458
23-Apr-18,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21,Tiger shark,23,Apr,4.0960081,72.7529391
22-Apr-18,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,9,"White shark, 2.5 m",22,Apr,-34.0761111,23.3705556
19-Apr-18,2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,6' shark,19,Apr,,
15-Apr-18,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,15,Apr,12.4513594,99.9789561
15-Apr-18,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Uncomfirmed,,Non-Disclosed,15,Apr,-23.7288509,-47.4335977
15-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,Non-Disclosed,15,Apr,-33.8752851,114.9861132
15-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,8,Non-Disclosed,15,Apr,-33.9610465,115.0767388
