Area,Fatal (Y/N),Area_Lat,Area_Lng
Abaco Islands,21,26.3555029,-77.1485163
"Admiralty Islands, Manus Province",2,-2.0941169,146.8760951
Adriatic Sea,3,41.85509039999999,17.2902839
Aichi Prefecture,1,35.0182505,137.2923893
Alabama,11,32.3182314,-86.902298
Alagoas,1,-9.5713058,-36.7819505
Alaska,1,64.2008413,-149.4936733
Alicante,3,38.3459963,-0.4906855
Alicante Province,1,38.3460627,-0.4907945
Alifu Alifu Atoll,1,4.085,72.8515479
Alinglaplap Atoll,2,7.399999999999999,168.75
Altagracia Province,1,18.5850236,-68.62010719999999
Ambergris Caye,1,18.001592,-87.94328370000001
Anatolia,1,39.165745,-86.52946399999999
Andikira Fokithes,1,7.894161500000001,98.30275689999999
Andros Islands,2,24.7063805,-78.0195387
Anjouan,1,-12.2138145,44.4370606
Antalya Province,1,37.09516720000001,31.0793705
Antarctic Ocean,1,-68.4380135,-160.2340459
Antibes,1,43.58041799999999,7.125102
Antigua,1,17.0746557,-61.8175207
Antofagasta Province,1,-23.65,-70.39999999999999
Antsiranana Province,1,-13.771539,49.5279996
Anzoategui,2,8.5913073,-63.95861110000001
Ascension Island,2,-7.946716599999999,-14.3559158
Atlantic Ocean,1,-14.5994134,-28.6731465
Atsumi peninsula,1,34.6500622,137.233385
Aulong Island,1,7.2772692,134.2940786
Baatan,1,14.6416842,120.4818446
Bahia,3,-12.579738,-41.7007272
Baie de Sainte-Marie,1,44.4332111,-66.09907439999999
Baja California,7,30.8406338,-115.2837585
Baja California Sur,1,26.0444446,-111.6660725
Bali,6,-8.3405389,115.0919509
BalneÃ¡rio CamboriÃº,1,45.2738361,-72.6965
Banaadir Region,4,2.1187375,45.3369459
Basrah,4,30.5257657,47.77379699999999
Batanes Provine,1,20.4485074,121.9708129
Batangas province,1,13.9450336,121.1312012
Bay Islands,1,16.4826614,-85.8793252
Bay of Biscay,1,45.5570384,-3.1632157
Bay of Maputo,1,-26.0828425,32.7633036
Beaufonds,1,-21.0473392,55.7231123
Beira,1,-19.8315949,34.8370183
Bermuda,2,32.3078,-64.7505
Berry Islands,2,25.6250042,-77.8252203
Bimini Islands,5,24.6415325,-79.8506226
Binh Dinh Province,8,14.1665324,108.902683
